2022-10-07 08:54:53 status half-installed libsepol1:amd64 3.1-1
2022-10-07 08:54:53 status unpacked libsepol1:amd64 3.1-1
2022-10-07 08:54:53 install libtasn1-6:amd64 <none> 4.16.0-2
2022-10-07 08:54:53 status half-installed libtasn1-6:amd64 4.16.0-2
2022-10-07 08:54:53 status unpacked libtasn1-6:amd64 4.16.0-2
2022-10-07 08:54:53 install libtirpc-common:all <none> 1.3.1-1+deb11u1
2022-10-07 08:54:53 status half-installed libtirpc-common:all 1.3.1-1+deb11u1
2022-10-07 08:54:53 status unpacked libtirpc-common:all 1.3.1-1+deb11u1
2022-10-07 08:54:53 install libtirpc3:amd64 <none> 1.3.1-1+deb11u1
2022-10-07 08:54:53 status half-installed libtirpc3:amd64 1.3.1-1+deb11u1
2022-10-07 08:54:53 status unpacked libtirpc3:amd64 1.3.1-1+deb11u1
2022-10-07 08:54:53 install libunistring2:amd64 <none> 0.9.10-4
2022-10-07 08:54:53 status half-installed libunistring2:amd64 0.9.10-4
2022-10-07 08:54:53 status unpacked libunistring2:amd64 0.9.10-4
2022-10-07 08:54:53 install libcrypt1:amd64 <none> 1:4.4.18-4
2022-10-07 08:54:53 status half-installed libcrypt1:amd64 1:4.4.18-4
2022-10-07 08:54:53 status unpacked libcrypt1:amd64 1:4.4.18-4
2022-10-07 08:54:53 install libzstd1:amd64 <none> 1.4.8+dfsg-2.1
2022-10-07 08:54:53 status half-installed libzstd1:amd64 1.4.8+dfsg-2.1
2022-10-07 08:54:54 status unpacked libzstd1:amd64 1.4.8+dfsg-2.1
2022-10-07 08:54:54 install lsb-base:all <none> 11.1.0
2022-10-07 08:54:54 status half-installed lsb-base:all 11.1.0
2022-10-07 08:54:54 status unpacked lsb-base:all 11.1.0
2022-10-07 08:54:54 install liblz4-1:amd64 <none> 1.9.3-2
2022-10-07 08:54:54 status half-installed liblz4-1:amd64 1.9.3-2
2022-10-07 08:54:54 status unpacked liblz4-1:amd64 1.9.3-2
2022-10-07 08:54:54 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2022-10-07 08:54:54 status half-configured mawk:amd64 1.3.4.20200120-2
2022-10-07 08:54:54 status unpacked mawk:amd64 1.3.4.20200120-2
2022-10-07 08:54:54 status half-installed mawk:amd64 1.3.4.20200120-2
2022-10-07 08:54:54 status unpacked mawk:amd64 1.3.4.20200120-2
2022-10-07 08:54:54 install libtinfo6:amd64 <none> 6.2+20201114-2
2022-10-07 08:54:54 status half-installed libtinfo6:amd64 6.2+20201114-2
2022-10-07 08:54:54 status unpacked libtinfo6:amd64 6.2+20201114-2
2022-10-07 08:54:54 install ncurses-base:all <none> 6.2+20201114-2
2022-10-07 08:54:54 status half-installed ncurses-base:all 6.2+20201114-2
2022-10-07 08:54:54 status unpacked ncurses-base:all 6.2+20201114-2
2022-10-07 08:54:54 install ncurses-bin:amd64 <none> 6.2+20201114-2
2022-10-07 08:54:54 status half-installed ncurses-bin:amd64 6.2+20201114-2
2022-10-07 08:54:54 status unpacked ncurses-bin:amd64 6.2+20201114-2
2022-10-07 08:54:54 install libhogweed6:amd64 <none> 3.7.3-1
2022-10-07 08:54:54 status half-installed libhogweed6:amd64 3.7.3-1
2022-10-07 08:54:54 status unpacked libhogweed6:amd64 3.7.3-1
2022-10-07 08:54:54 install libnettle8:amd64 <none> 3.7.3-1
2022-10-07 08:54:54 status half-installed libnettle8:amd64 3.7.3-1
2022-10-07 08:54:54 status unpacked libnettle8:amd64 3.7.3-1
2022-10-07 08:54:54 install libssl1.1:amd64 <none> 1.1.1n-0+deb11u3
2022-10-07 08:54:54 status half-installed libssl1.1:amd64 1.1.1n-0+deb11u3
2022-10-07 08:54:55 status unpacked libssl1.1:amd64 1.1.1n-0+deb11u3
2022-10-07 08:54:55 install libp11-kit0:amd64 <none> 0.23.22-1
2022-10-07 08:54:55 status half-installed libp11-kit0:amd64 0.23.22-1
2022-10-07 08:54:55 status unpacked libp11-kit0:amd64 0.23.22-1
2022-10-07 08:54:55 install libpam-modules:amd64 <none> 1.4.0-9+deb11u1
2022-10-07 08:54:55 status half-installed libpam-modules:amd64 1.4.0-9+deb11u1
2022-10-07 08:54:55 status unpacked libpam-modules:amd64 1.4.0-9+deb11u1
2022-10-07 08:54:55 install libpam-modules-bin:amd64 <none> 1.4.0-9+deb11u1
